CO-BRANCH;OFFICE;;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
421 - PADANG;422 - KCP BUKITTINGGI;KCP BUKITTINGGI;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;422 - KCP BUKITTINGGI;KCP BUKITTINGGI;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0; 8.400.000 ; 7.500.000 ;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;423 - KCP PAYAKUMBUH;KCP PAYAKUMBUH;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0;0; 32.000.000 ;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;423 - KCP PAYAKUMBUH;KCP PAYAKUMBUH;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;423 - KCP PAYAKUMBUH;KCP PAYAKUMBUH;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;423 - KCP PAYAKUMBUH;KCP PAYAKUMBUH;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0; 7.500.000 ;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;424 - KCP SOLOK;KCP SOLOK;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0; 16.000.000 ;0;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;424 - KCP SOLOK;KCP SOLOK;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;424 - KCP SOLOK;KCP SOLOK;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;424 - KCP SOLOK;KCP SOLOK;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0; 7.500.000 ;0;0;0; -   ; -   ; -   ; -   
431 - BENGKULU;431 - BENGKULU;BENGKULU;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0; 50.500.000 ; 70.500.000 ; 56.000.000 ; 16.000.000 ; 121.000.000 ; 50.000.000 ; 100.000.000 ; -   ; -   
431 - BENGKULU;431 - BENGKULU;BENGKULU;ASHAR USD;Referral;0;0;0;0;0;0;0;0; 50.540.400 ;0;0; 51.748.300 ;0;0; -   ; -   ; -   ; 63.598.500 
431 - BENGKULU;431 - BENGKULU;BENGKULU;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0; 16.000.000 ;0; -   ; -   ; -   ; -   
431 - BENGKULU;431 - BENGKULU;BENGKULU;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; 18.000.000 
431 - BENGKULU;432 - KCP CURUP;KCP CURUP;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 16.000.000 ; 16.000.000 ; 36.000.000 ; 36.000.000 ; 20.000.000 ; 16.000.000 ; 32.000.000 ; 16.000.000 ; -   ; 16.000.000 
431 - BENGKULU;432 - KCP CURUP;KCP CURUP;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
